id;text;label;track_id;track;yandex
1;Скоро случится что то опасное но мне этого хочется;Тревожное;16;Blood Moon / Christian Death;Рок
2;Я стала вампиром 2 дня назад и ебейше курю в машине;Энергичное;16;Blood Moon / Christian Death;Рок
3;Я словно в загадочном мире где все против меня;Энергичное;36;Main Titles (Charlie and the Chocolate Factory) / Danny Elfman;Эпическое
4;Вот бы перестать зависеть от жизненных обстоятельств;Спокойное;4;Hearing Damage / Thom Yorke;Грустное
5;Импульсивное желание которое не стоит того;Тревожное;25;Angel / Massive Attack;Мрачное
6;Деструктивные мысли что приводят к неожиданным исходам;Тревожное;19;Put the knife away / Rory In early 20s;Бодрое
7;я словно в киберпанке и мне уже ничего неважно в этом мире;Спокойное;1;CHALICE OF MIND / Yabudjin;Бодрое
8;Странное нагнетающее чувство трагедии;Тревожное;28;Ballad of the cats / C418;Мрачное
9;Состояние после истерики;Меланхоличное;7;Forgive / Burial;Спокойное
10;Я в Эдите и все меня хотят;Энергичное;30;Art Deco / Lana Del Rey;Романтичное
11;Все повторяется изо дня в день словно в цикле;Тревожное;29;No Surprises / Radiohead;Романтичное
12;Первый день после трагедии;Меланхоличное;5;Sleep awake / Mother Mother;Грустное
13;Ты попал в культ где тебя накурили марихуаной и ты молишься их богине;Энергичное;21;In Aisles / Naro`s Day at Disneyland;Бодрое
14;Ты взял экспедицию в амазонию и тебя поймали людоеды;Тревожное;21;In Aisles / Naro`s Day at Disneyland;Бодрое
15;День сурка;Тревожное;29;No Surprises / Radiohead;Романтичное
16;Вечер, странная новость, ничего с этим не сделаешь;Меланхоличное;17;Crystal of Faded Childhood / Kairi the maid;Рок
17;Я потерял все;Меланхоличное;18;Void in Blue / Glare;Рок
18;Вайб вселенной тима бертона;Тревожное;36;Main Titles (Charlie and the Chocolate Factory) / Danny Elfman;Эпическое
19;Я наконец могу провести время в одиночестве также романтично, как с кем-то;Спокойное;30;Art Deco / Lana Del Rey;Романтичное
20;Красивый момент по типу засмотреться на закат когда едешь в машине после учебы;Спокойное;15;Bitter Sweet Symphony / The Verve;Веселое
